name,location,country,date_start,date_end,cost,deadline,link,note
Computational Psychiatry,Neuroscience School of Advanced Studies,Italy,13/06/2020,20/06/2020,1140 EUR,01/06/2020,https://www.neurosas.org/courses/advanced-courses/computational-psychiatry-2020/,until full
Neural Circuit Dynamics,Neuroscience School of Advanced Studies,Italy,27/06/2020,04/07/2020,1140 EUR,01/06/2020,https://www.neurosas.org/courses/advanced-courses/neural-circuit-dynamics-2020/,until full
Computational Approaches to Memory and Plasticity (CAMP),NCBS,India ,27/06/2020,12/07/2020,Free + accommodation + food,01/04/2020,https://camp.ncbs.res.in/,
Okinawa Computational Neuroscience Course,OIST,Japan,29/06/2020,16/07/2020,Free,01/02/2020,https://groups.oist.jp/ocnc,
Developing Neural Circuits,OIST,Japan,30/07/2020,14/08/2020,Free,12/12/2018,https://groups.oist.jp/dnc,
Northern Lights Deep Learning Workshop,University of Tromsø,Norway,20/01/2019,21/01/2019,?,12/12/2018,https://www.nldl.org/home,
Nordic Probabilistic AI School (ProbAI),Trondheim,Norway,08/06/2020,12/07/2020,?,12/12/2018,https://probabilistic.ai/,
Neuro-insights: Data Science Approaches in Neuroscience,Oslo Metropolitan University,Norway,06/07/2020,13/07/2020,1000 NOK (approx 100 EUR),15/04/2020,https://student.oslomet.no/en/studier/-/studieinfo/emne/STKD6810/2020/H%C3%98ST,
Cajal Course in Computational Neuroscience,Champalimaud Centre for the Unknown,Portugal,10/08/2020,28/08/2020,"€2,500",15/04/2020,https://www.fens.org/Training/CAJAL-programme/CAJAL-courses-2020/CN-2020/,
Transylvanian Experimental Neuroscience Summer School (TENSS),The Pike Lake,Romania,01/06/2020,21/06/2020,1500 EUR,01/03/2020,http://www.tenss.ro/apply/index.php,
Brain dynamics on the Connectome: how to combine M/EEG and diffusion MRI,Lausanne,Switzerland,07/09/2020,11/09/2020,TBD,20/06/2020,https://wp.unil.ch/connectomics/summer-school/,
London Mathematical Laboratory Summer School,London Mathematical Laboratory,GB,06/07/2020,31/07/2020,Free,10/02/2020,http://lml.org.uk/events/summer-school/,
Complex Systems Summer School,"Santa Fe Institute, New Mexico",US,14/06/2020,10/07/2020,4500 USD,21/01/2020,https://www.santafe.edu/engage/learn/schools/sfi-complex-systems-summer-school,
The ERP Boot Camp,UC-Davis Center for Mind & Brain,US,22/06/2020,01/07/2020,?,12/12/2018,https://erpinfo.org/the-erp-boot-camp/,
Causal Inference Summer Institute,University of Pennsylvania,US,22/06/2020,25/07/2020,?,12/12/2018,https://www.cceb.med.upenn.edu/cci/2020-summer-institute,
Telluride Neuromorphic Cognition Engineering Workshop,Colorado,US,28/06/2020,17/07/2020,1600 USD,29/03/2020,https://sites.google.com/view/telluride2020,
Methods in Computational Neuroscience,"MBL, Woods Hole, MA",US,02/08/2020,20/08/2020,? ,16/03/2020,https://www.mbl.edu/mcn/,
"Brains, Minds & Machines",MIT,US,06/08/2020,27/08/2020,Free,06/04/2020,https://www.mbl.edu/education/courses/brains-minds-and-machines/,
Summer Seminars in Neuroscience and Philosophy,Duke University,US,12/08/2020,17/08/2020,€840 or €1390 (incl meal&accom),12/12/2018,http://www.ssnap.net/,until course is full
UW/Allen Summer Workshop on the Dynamic Brain,"Friday Harbor Labs, Washington",US,22/08/2020,06/09/2020,Free (except travel; some travel grants),16/03/2020,https://courses.washington.edu/braindyn/,
